model,mae,mse,rmse,r2_score
Support Vector Regressor,0.058148136835887376,0.005872342922131156,0.07663121375869729,0.7614698877080794
Gradient Boosting Regressor,0.0604136098547271,0.006335154315479135,0.0795936826354902,0.7426708401917586
Random Forest Regressor,0.061266744263647546,0.0066637602187332775,0.08163185786648051,0.7293231178188709
Decision Tree Regressor,0.07811676868378237,0.010309404108333945,0.10153523579690917,0.5812398301270798
Linear Regression,0.07531712868320466,0.015560894908351284,0.12474331608688012,0.3679282597984309
Ridge Regression,0.07524543885006901,0.018328214865672904,0.13538173756335417,0.2555218235734763
