model,feature,importance
Linear Regression,B01001_025E,0.04458169576480948
Linear Regression,log_population,0.04184904452180238
Linear Regression,B02001_010E,0.04031562947828339
Linear Regression,B17001_022E,0.040069178275159156
Linear Regression,B17001_024E,0.0392144622228936
Linear Regression,B23025_006E,0.037677411895728354
Linear Regression,B17001_027E,0.03235332542846263
Linear Regression,B17001_029E,0.028709456172166886
Linear Regression,B15003_013E,0.028535755049173134
Linear Regression,doctorate_degree,0.026940895594363967
Linear Regression,B15003_025E,0.026940895594326664
Linear Regression,B17001_048E,0.025178275426763375
Linear Regression,B17001_009E,0.025164916090604825
Linear Regression,B01001_024E,0.025008753066652636
Linear Regression,B17001_021E,0.02346261386832512
Linear Regression,B02001_009E,0.02320724620757053
Linear Regression,B17001_005E,0.02320665292919582
Linear Regression,B15003_010E,0.021669520840829404
Linear Regression,black_pct,0.020478314898053747
Linear Regression,B17001_030E,0.020354592322066767
Linear Regression,B15003_009E,0.019372994465544302
Linear Regression,B01001_023E,0.018568500863611254
Linear Regression,B17001_007E,0.018456600898339837
Linear Regression,B17001_013E,0.017455564428245002
Linear Regression,B15003_012E,0.016468358857214094
Linear Regression,poverty_rate,0.016071316103770356
Linear Regression,B17001_012E,0.015857493907452364
Linear Regression,B15003_005E,0.013198386145524155
Linear Regression,B15003_006E,0.013103888732108195
Linear Regression,B02001_004E,0.01246570337783448
Linear Regression,B17001_003E,0.011390624270319914
Linear Regression,B02001_008E,0.010553573751547002
Linear Regression,B17001_016E,0.009751472533092859
Linear Regression,B15003_004E,0.009579047909670069
Linear Regression,unemployment_rate,0.008525501711982686
Linear Regression,below_poverty,0.007662342762760052
Linear Regression,B17001_002E,0.007662342762700537
Linear Regression,B17001_008E,0.00700228166385676
Linear Regression,B15003_007E,0.006980110999357789
Linear Regression,B02001_006E,0.006804610060784921
Linear Regression,asian_pct,0.006203340233960047
Linear Regression,B15003_008E,0.006007463354433917
Linear Regression,B17001_011E,0.005722487300719791
Linear Regression,B15003_003E,0.005359565454977011
Linear Regression,B17001_017E,0.00467360400752341
Linear Regression,B17001_019E,0.003549496182628037
Linear Regression,B17001_004E,0.0027580067173746114
Linear Regression,B17001_010E,0.0016982535806158022
Linear Regression,B19013_001E,0.0001225966949656293
Linear Regression,median_income,0.00012259669449371166
Ridge Regression,B23025_007E,0.15018049338920444
Ridge Regression,B01001_010E,0.1051547213039128
Ridge Regression,B23025_004E,0.08640823374151728
Ridge Regression,B23025_003E,0.08191516380582577
Ridge Regression,B23025_002E,0.08151524884243969
Ridge Regression,labor_force,0.08151524884243964
Ridge Regression,higher_education_rate,0.07912623029309025
Ridge Regression,B01001_047E,0.07872615662344674
Ridge Regression,B17001_040E,0.07515646295606776
Ridge Regression,B01001_048E,0.07512303710328784
Ridge Regression,B17001_042E,0.07024914103863818
Ridge Regression,B01001_011E,0.06625987267012808
Ridge Regression,B15003_019E,0.06468400426342881
Ridge Regression,white_pct,0.0645261774760226
Ridge Regression,B15003_021E,0.06434270157090144
Ridge Regression,B01001_005E,0.06305939806942988
Ridge Regression,B15003_011E,0.062348318410254865
Ridge Regression,B17001_039E,0.06174363475323095
Ridge Regression,B01001_035E,0.060929515042201024
Ridge Regression,B01001_025E,0.05923130813660002
Ridge Regression,B01001_042E,0.058933384375401555
Ridge Regression,B01001_029E,0.05862443399829185
Ridge Regression,B17001_054E,0.057615712917060684
Ridge Regression,B17001_041E,0.05611242490394308
Ridge Regression,B17001_038E,0.05426020239215895
Ridge Regression,bachelors_degree,0.053626157366594644
Ridge Regression,B15003_022E,0.053626157366519496
Ridge Regression,B01001_019E,0.05334717490289491
Ridge Regression,B01001_041E,0.053189472866208704
Ridge Regression,B01001_016E,0.05162800038719996
Ridge Regression,B01001_028E,0.05159444025049685
Ridge Regression,B17001_036E,0.05036499971365809
Ridge Regression,B17001_013E,0.049587325065045554
Ridge Regression,B15003_014E,0.04762082082523415
Ridge Regression,B17001_004E,0.047495081175384896
Ridge Regression,B01001_021E,0.04659892381402595
Ridge Regression,B01001_043E,0.04360641508014276
Ridge Regression,B17001_049E,0.043049760061420445
Ridge Regression,log_population,0.043046759188211846
Ridge Regression,B25001_001E,0.0425113942910841
Ridge Regression,total_housing_units,0.042511394291084054
Ridge Regression,B01001_038E,0.04231938188779816
Ridge Regression,B17001_014E,0.04147594700266184
Ridge Regression,B01001_036E,0.04130641504309545
Ridge Regression,B17001_035E,0.040731516437668286
Ridge Regression,B01001_037E,0.040389730016823645
Ridge Regression,B15003_018E,0.03838106977099436
Ridge Regression,B17001_053E,0.03754615204206817
Ridge Regression,B17001_055E,0.035706521437976105
Ridge Regression,B15003_017E,0.03530543889652088
Ridge Regression,B17001_059E,0.03484685098966484
Ridge Regression,B17001_032E,0.034629491428261
Ridge Regression,B02001_009E,0.034142436321413866
Ridge Regression,B17001_007E,0.03290493625583975
