kmeans_cluster,counties,republican_counties,democrat_counties,avg_dem_vote_share,median_dem_vote_share,avg_total_population,avg_median_income,avg_higher_education_rate,avg_poverty_rate,avg_unemployment_rate,avg_white_pct,avg_black_pct,avg_asian_pct,avg_log_population,democrat_county_share
1,506,223,283,0.5120106412735703,0.5133874299355,433867.6324110672,76131.87747035573,0.2620573170532224,0.09785421785591678,0.04627579523389882,0.7678293860569729,0.09395078338415179,0.04833661795250315,12.263402379347644,0.5592885375494071
2,542,364,178,0.4235575308788747,0.40842241137175805,60043.302583025834,41466.66236162362,0.11248377569571402,0.21814166222550174,0.0793500095578304,0.5776794621646626,0.3152259761693571,0.007747870598235803,10.09379622674147,0.3284132841328413
0,2067,1989,78,0.2651060096389594,0.2464304916661688,35826.113691340106,53249.54840271055,0.14188113323902,0.1307062192368309,0.04519299573980521,0.896933608695846,0.03129919167293199,0.007103578445905546,9.85304983673082,0.03773584905660377
