model,feature,importance
Logistic Regression,B17001_032E,0.20857777975657446
Logistic Regression,B17001_037E,0.2026603796055518
Logistic Regression,B15003_002E,0.20040616589104945
Logistic Regression,B01001_010E,0.1951702549428063
Logistic Regression,B01001_027E,0.19243668708921047
Logistic Regression,B15003_013E,0.18128627012152979
Logistic Regression,B02001_005E,0.1768900006517659
Logistic Regression,asian_population,0.1768900006517659
Logistic Regression,B19013_001E,0.16321938240796507
Logistic Regression,median_income,0.16321938240796507
Logistic Regression,B17001_055E,0.1571443729455882
Logistic Regression,B17001_011E,0.15554073122947193
Logistic Regression,B17001_047E,0.1553468244997419
Logistic Regression,B01001_038E,0.1505794440990455
Logistic Regression,B17001_031E,0.14941672204552625
Logistic Regression,unemployment_rate,0.14253915361322306
Logistic Regression,B17001_022E,0.1395693215038842
Logistic Regression,B17001_024E,0.13780291835174985
Logistic Regression,B15003_001E,0.13656200654043452
Logistic Regression,B15003_007E,0.1341456806066029
Logistic Regression,B17001_001E,0.13386464017830826
Logistic Regression,B01001_040E,0.13068953596554655
Logistic Regression,B23025_001E,0.12989168370587123
Logistic Regression,B01001_014E,0.12169069893186404
Logistic Regression,bachelors_degree,0.11796985437609277
Logistic Regression,B15003_022E,0.11796985437609277
Logistic Regression,B01001_007E,0.1122942920757896
Logistic Regression,B01001_017E,0.10664276287964419
Logistic Regression,B17001_044E,0.10219108051969943
Logistic Regression,B17001_020E,0.09975840239771717
Logistic Regression,asian_pct,0.09150369357464144
Logistic Regression,B17001_046E,0.09131396077770253
Logistic Regression,B17001_030E,0.08155769268178156
Logistic Regression,B17001_017E,0.06747350267018423
Logistic Regression,B17001_027E,0.06506858721052605
Logistic Regression,B15003_003E,0.06298629667976223
Logistic Regression,B01001_034E,0.05941103611158048
Logistic Regression,B01001_028E,0.05394983925320214
Logistic Regression,B17001_041E,0.053314423712664115
Logistic Regression,B01001_035E,0.05096358987604912
Logistic Regression,B01001_015E,0.043025850683650495
Logistic Regression,B02001_004E,0.03799857203890703
Logistic Regression,B01001_033E,0.030518123657261247
Logistic Regression,B17001_002E,0.028746063599119853
Logistic Regression,below_poverty,0.028746063599119853
Logistic Regression,B17001_043E,0.027633568058391643
Logistic Regression,B01001_002E,0.0229262651144586
Logistic Regression,B17001_005E,0.019988966108462604
Logistic Regression,B17001_003E,0.019675031823755667
Logistic Regression,B01001_026E,0.01704378013427227
Logistic Regression,B17001_009E,0.010612916877037814
Logistic Regression,B01001_041E,0.008782444781607923
Logistic Regression,B01001_001E,0.002522655057531952
Logistic Regression,B02001_001E,0.002522655057531952
Logistic Regression,total_population,0.002522655057531952
Decision Tree,doctorate_degree,0.3521173959708912
Decision Tree,white_pct,0.31533055832441687
Decision Tree,higher_education_rate,0.17454516848264787
Decision Tree,B17001_023E,0.03033597757440741
Decision Tree,poverty_rate,0.02798081456112351
Decision Tree,B17001_037E,0.022837071143439285
Decision Tree,unemployment_rate,0.01756410209513514
Decision Tree,professional_degree,0.01547278555363887
Decision Tree,B15003_025E,0.013284787606182156
Decision Tree,B17001_045E,0.01067541596160865
Decision Tree,asian_pct,0.005706705321334999
Decision Tree,B17001_005E,0.004235220827242099
