model,accuracy,precision,recall,f1_score
Gradient Boosting,0.9261637239165329,0.803921568627451,0.7592592592592593,0.780952380952381
Logistic Regression,0.9069020866773676,0.6712328767123288,0.9074074074074074,0.7716535433070866
Random Forest,0.9052969502407705,0.7634408602150538,0.6574074074074074,0.7064676616915423
Decision Tree,0.8731942215088283,0.60431654676259,0.7777777777777778,0.680161943319838
Naive Bayes,0.8587479935794543,0.6612903225806451,0.37962962962962965,0.4823529411764706
