Model,MAE,RMSE,R2
XGBoost Regressor,0.059043875568327915,0.08785112254064731,0.7759544812202737
Random Forest Regressor,0.06378259447778672,0.0929646982110938,0.7491132306992521
Lasso Regression,0.06976652394448957,0.09870903691911186,0.7171504704547108
Ridge Regression,0.07032829633280699,0.0987172094496117,0.7171036319448325
Linear Regression,0.0723300118525497,0.10151967464876496,0.7008134498745343
